week_start,region_id,proxy_city,avg_temp_c,rain_mm,snow_cm,max_wind_kmh,wet_cold_days,temp_reference_c,rain_reference_mm,snow_reference_cm,temp_anomaly_c,rain_anomaly_mm,snow_anomaly_cm,heavy_rain_week_flag,heavy_snow_week_flag,cold_week_flag,very_cold_week_flag,wet_cold_week_flag,high_wind_week_flag,cold_severity_dimension,rain_severity_dimension,snow_severity_dimension,wet_cold_severity_dimension,wind_severity_dimension,adverse_dimension_count,extreme_weather_event_flag,mild_weather_candidate_flag,weather_reference_available,scenario_eligible_flag,weather_scenario,scenario_reason,scenario_method,scenario_provenance,scenario_threshold_provenance
2021-09-13,CA_ON,"Toronto, ON",18.557,5.4,0.0,23.1,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,REFERENCE_UNAVAILABLE,No prior-year seasonal weather reference available,RULE_BASED_UNWEIGHTED_WEATHER_DIMENSIONS,DERIVED_FROM_PUBLIC_WEATHER,PROJECT_ASSUMPTION
2021-09-20,CA_ON,"Toronto, ON",16.357,58.6,0.0,28.2,0,,,,,,,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,REFERENCE_UNAVAILABLE,No prior-year seasonal weather reference available,RULE_BASED_UNWEIGHTED_WEATHER_DIMENSIONS,DERIVED_FROM_PUBLIC_WEATHER,PROJECT_ASSUMPTION
2021-09-27,CA_ON,"Toronto, ON",15.657,17.8,0.0,19.7,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,REFERENCE_UNAVAILABLE,No prior-year seasonal weather reference available,RULE_BASED_UNWEIGHTED_WEATHER_DIMENSIONS,DERIVED_FROM_PUBLIC_WEATHER,PROJECT_ASSUMPTION
2021-10-04,CA_ON,"Toronto, ON",17.086,16.9,0.0,18.9,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,REFERENCE_UNAVAILABLE,No prior-year seasonal weather reference available,RULE_BASED_UNWEIGHTED_WEATHER_DIMENSIONS,DERIVED_FROM_PUBLIC_WEATHER,PROJECT_ASSUMPTION
2021-10-11,CA_ON,"Toronto, ON",16.857,15.1,0.0,26.6,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,REFERENCE_UNAVAILABLE,No prior-year seasonal weather reference available,RULE_BASED_UNWEIGHTED_WEATHER_DIMENSIONS,DERIVED_FROM_PUBLIC_WEATHER,PROJECT_ASSUMPTION
2021-10-18,CA_ON,"Toronto, ON",10.586,5.4,0.0,26.6,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,REFERENCE_UNAVAILABLE,No prior-year seasonal weather reference available,RULE_BASED_UNWEIGHTED_WEATHER_DIMENSIONS,DERIVED_FROM_PUBLIC_WEATHER,PROJECT_ASSUMPTION
2021-10-25,CA_ON,"Toronto, ON",9.3,41.7,0.0,30.5,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,REFERENCE_UNAVAILABLE,No prior-year seasonal weather reference available,RULE_BASED_UNWEIGHTED_WEATHER_DIMENSIONS,DERIVED_FROM_PUBLIC_WEATHER,PROJECT_ASSUMPTION
2021-11-01,CA_ON,"Toronto, ON",4.757,0.4,0.0,27.4,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,REFERENCE_UNAVAILABLE,No prior-year seasonal weather reference available,RULE_BASED_UNWEIGHTED_WEATHER_DIMENSIONS,DERIVED_FROM_PUBLIC_WEATHER,PROJECT_ASSUMPTION
2021-11-08,CA_ON,"Toronto, ON",7.771,16.8,0.28,25.2,1,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,REFERENCE_UNAVAILABLE,No prior-year seasonal weather reference available,RULE_BASED_UNWEIGHTED_WEATHER_DIMENSIONS,DERIVED_FROM_PUBLIC_WEATHER,PROJECT_ASSUMPTION
2021-11-15,CA_ON,"Toronto, ON",4.8,10.4,0.0,28.1,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,REFERENCE_UNAVAILABLE,No prior-year seasonal weather reference available,RULE_BASED_UNWEIGHTED_WEATHER_DIMENSIONS,DERIVED_FROM_PUBLIC_WEATHER,PROJECT_ASSUMPTION
2021-11-22,CA_ON,"Toronto, ON",1.029,7.9,3.64,32.6,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,REFERENCE_UNAVAILABLE,No prior-year seasonal weather reference available,RULE_BASED_UNWEIGHTED_WEATHER_DIMENSIONS,DERIVED_FROM_PUBLIC_WEATHER,PROJECT_ASSUMPTION
2021-11-29,CA_ON,"Toronto, ON",1.3,6.1,4.69,35.3,1,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,REFERENCE_UNAVAILABLE,No prior-year seasonal weather reference available,RULE_BASED_UNWEIGHTED_WEATHER_DIMENSIONS,DERIVED_FROM_PUBLIC_WEATHER,PROJECT_ASSUMPTION
2021-12-06,CA_ON,"Toronto, ON",1.514,28.8,2.03,44.3,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,REFERENCE_UNAVAILABLE,No prior-year seasonal weather reference available,RULE_BASED_UNWEIGHTED_WEATHER_DIMENSIONS,DERIVED_FROM_PUBLIC_WEATHER,PROJECT_ASSUMPTION
2021-12-13,CA_ON,"Toronto, ON",3.614,5.3,5.39,41.3,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,REFERENCE_UNAVAILABLE,No prior-year seasonal weather reference available,RULE_BASED_UNWEIGHTED_WEATHER_DIMENSIONS,DERIVED_FROM_PUBLIC_WEATHER,PROJECT_ASSUMPTION
2021-12-20,CA_ON,"Toronto, ON",0.343,5.3,3.01,32.1,1,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,REFERENCE_UNAVAILABLE,No prior-year seasonal weather reference available,RULE_BASED_UNWEIGHTED_WEATHER_DIMENSIONS,DERIVED_FROM_PUBLIC_WEATHER,PROJECT_ASSUMPTION
2021-12-27,CA_ON,"Toronto, ON",0.271,0.5,8.82,28.5,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,REFERENCE_UNAVAILABLE,No prior-year seasonal weather reference available,RULE_BASED_UNWEIGHTED_WEATHER_DIMENSIONS,DERIVED_FROM_PUBLIC_WEATHER,PROJECT_ASSUMPTION
2022-01-03,CA_ON,"Toronto, ON",-4.243,1.7,0.28,29.5,1,,,,,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,REFERENCE_UNAVAILABLE,No prior-year seasonal weather reference available,RULE_BASED_UNWEIGHTED_WEATHER_DIMENSIONS,DERIVED_FROM_PUBLIC_WEATHER,PROJECT_ASSUMPTION
2022-01-10,CA_ON,"Toronto, ON",-8.114,0.0,0.42,29.7,0,,,,,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,REFERENCE_UNAVAILABLE,No prior-year seasonal weather reference available,RULE_BASED_UNWEIGHTED_WEATHER_DIMENSIONS,DERIVED_FROM_PUBLIC_WEATHER,PROJECT_ASSUMPTION
2022-01-17,CA_ON,"Toronto, ON",-8.329,0.1,24.15,30.7,0,,,,,,,0,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0,REFERENCE_UNAVAILABLE,No prior-year seasonal weather reference available,RULE_BASED_UNWEIGHTED_WEATHER_DIMENSIONS,DERIVED_FROM_PUBLIC_WEATHER,PROJECT_ASSUMPTION
2022-01-24,CA_ON,"Toronto, ON",-11.957,0.0,2.52,30.7,0,,,,,,,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,REFERENCE_UNAVAILABLE,No prior-year seasonal weather reference available,RULE_BASED_UNWEIGHTED_WEATHER_DIMENSIONS,DERIVED_FROM_PUBLIC_WEATHER,PROJECT_ASSUMPTION
2022-01-31,CA_ON,"Toronto, ON",-5.829,4.5,10.64,24.1,1,,,,,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,REFERENCE_UNAVAILABLE,No prior-year seasonal weather reference available,RULE_BASED_UNWEIGHTED_WEATHER_DIMENSIONS,DERIVED_FROM_PUBLIC_WEATHER,PROJECT_ASSUMPTION
2022-02-07,CA_ON,"Toronto, ON",-2.9,3.9,1.26,27.6,1,,,,,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,REFERENCE_UNAVAILABLE,No prior-year seasonal weather reference available,RULE_BASED_UNWEIGHTED_WEATHER_DIMENSIONS,DERIVED_FROM_PUBLIC_WEATHER,PROJECT_ASSUMPTION
2022-02-14,CA_ON,"Toronto, ON",-4.643,18.7,13.3,36.8,1,,,,,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,REFERENCE_UNAVAILABLE,No prior-year seasonal weather reference available,RULE_BASED_UNWEIGHTED_WEATHER_DIMENSIONS,DERIVED_FROM_PUBLIC_WEATHER,PROJECT_ASSUMPTION
2022-02-21,CA_ON,"Toronto, ON",-3.357,11.2,5.74,29.6,1,,,,,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,REFERENCE_UNAVAILABLE,No prior-year seasonal weather reference available,RULE_BASED_UNWEIGHTED_WEATHER_DIMENSIONS,DERIVED_FROM_PUBLIC_WEATHER,PROJECT_ASSUMPTION
2022-02-28,CA_ON,"Toronto, ON",-1.643,2.7,2.1,40.8,0,,,,,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,REFERENCE_UNAVAILABLE,No prior-year seasonal weather reference available,RULE_BASED_UNWEIGHTED_WEATHER_DIMENSIONS,DERIVED_FROM_PUBLIC_WEATHER,PROJECT_ASSUMPTION
2022-03-07,CA_ON,"Toronto, ON",-1.314,3.3,7.42,34.1,1,,,,,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,REFERENCE_UNAVAILABLE,No prior-year seasonal weather reference available,RULE_BASED_UNWEIGHTED_WEATHER_DIMENSIONS,DERIVED_FROM_PUBLIC_WEATHER,PROJECT_ASSUMPTION
2022-03-14,CA_ON,"Toronto, ON",4.743,11.7,5.04,24.4,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,REFERENCE_UNAVAILABLE,No prior-year seasonal weather reference available,RULE_BASED_UNWEIGHTED_WEATHER_DIMENSIONS,DERIVED_FROM_PUBLIC_WEATHER,PROJECT_ASSUMPTION
2022-03-21,CA_ON,"Toronto, ON",3.314,11.9,2.59,32.6,2,,,,,,,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,REFERENCE_UNAVAILABLE,No prior-year seasonal weather reference available,RULE_BASED_UNWEIGHTED_WEATHER_DIMENSIONS,DERIVED_FROM_PUBLIC_WEATHER,PROJECT_ASSUMPTION
2022-03-28,CA_ON,"Toronto, ON",0.714,3.6,0.84,32.5,1,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,REFERENCE_UNAVAILABLE,No prior-year seasonal weather reference available,RULE_BASED_UNWEIGHTED_WEATHER_DIMENSIONS,DERIVED_FROM_PUBLIC_WEATHER,PROJECT_ASSUMPTION
2022-04-04,CA_ON,"Toronto, ON",6.071,10.7,0.0,25.6,1,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,REFERENCE_UNAVAILABLE,No prior-year seasonal weather reference available,RULE_BASED_UNWEIGHTED_WEATHER_DIMENSIONS,DERIVED_FROM_PUBLIC_WEATHER,PROJECT_ASSUMPTION
2022-04-11,CA_ON,"Toronto, ON",8.3,8.8,0.0,39.3,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,REFERENCE_UNAVAILABLE,No prior-year seasonal weather reference available,RULE_BASED_UNWEIGHTED_WEATHER_DIMENSIONS,DERIVED_FROM_PUBLIC_WEATHER,PROJECT_ASSUMPTION
2022-04-18,CA_ON,"Toronto, ON",6.586,12.7,5.95,33.1,2,,,,,,,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,REFERENCE_UNAVAILABLE,No prior-year seasonal weather reference available,RULE_BASED_UNWEIGHTED_WEATHER_DIMENSIONS,DERIVED_FROM_PUBLIC_WEATHER,PROJECT_ASSUMPTION
2022-04-25,CA_ON,"Toronto, ON",7.186,26.2,0.0,23.3,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,REFERENCE_UNAVAILABLE,No prior-year seasonal weather reference available,RULE_BASED_UNWEIGHTED_WEATHER_DIMENSIONS,DERIVED_FROM_PUBLIC_WEATHER,PROJECT_ASSUMPTION
2022-05-02,CA_ON,"Toronto, ON",10.586,26.1,0.0,23.5,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,REFERENCE_UNAVAILABLE,No prior-year seasonal weather reference available,RULE_BASED_UNWEIGHTED_WEATHER_DIMENSIONS,DERIVED_FROM_PUBLIC_WEATHER,PROJECT_ASSUMPTION
2022-05-09,CA_ON,"Toronto, ON",16.3,0.9,0.0,15.0,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,REFERENCE_UNAVAILABLE,No prior-year seasonal weather reference available,RULE_BASED_UNWEIGHTED_WEATHER_DIMENSIONS,DERIVED_FROM_PUBLIC_WEATHER,PROJECT_ASSUMPTION
2022-05-16,CA_ON,"Toronto, ON",14.814,22.2,0.0,26.5,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,REFERENCE_UNAVAILABLE,No prior-year seasonal weather reference available,RULE_BASED_UNWEIGHTED_WEATHER_DIMENSIONS,DERIVED_FROM_PUBLIC_WEATHER,PROJECT_ASSUMPTION
2022-05-23,CA_ON,"Toronto, ON",15.886,14.7,0.0,25.9,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,REFERENCE_UNAVAILABLE,No prior-year seasonal weather reference available,RULE_BASED_UNWEIGHTED_WEATHER_DIMENSIONS,DERIVED_FROM_PUBLIC_WEATHER,PROJECT_ASSUMPTION
2022-05-30,CA_ON,"Toronto, ON",19.157,8.3,0.0,24.9,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,REFERENCE_UNAVAILABLE,No prior-year seasonal weather reference available,RULE_BASED_UNWEIGHTED_WEATHER_DIMENSIONS,DERIVED_FROM_PUBLIC_WEATHER,PROJECT_ASSUMPTION
2022-06-06,CA_ON,"Toronto, ON",17.071,74.3,0.0,23.0,0,,,,,,,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,REFERENCE_UNAVAILABLE,No prior-year seasonal weather reference available,RULE_BASED_UNWEIGHTED_WEATHER_DIMENSIONS,DERIVED_FROM_PUBLIC_WEATHER,PROJECT_ASSUMPTION
2022-06-13,CA_ON,"Toronto, ON",19.214,4.6,0.0,34.3,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,REFERENCE_UNAVAILABLE,No prior-year seasonal weather reference available,RULE_BASED_UNWEIGHTED_WEATHER_DIMENSIONS,DERIVED_FROM_PUBLIC_WEATHER,PROJECT_ASSUMPTION
2022-06-20,CA_ON,"Toronto, ON",22.457,1.4,0.0,23.3,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,REFERENCE_UNAVAILABLE,No prior-year seasonal weather reference available,RULE_BASED_UNWEIGHTED_WEATHER_DIMENSIONS,DERIVED_FROM_PUBLIC_WEATHER,PROJECT_ASSUMPTION
2022-06-27,CA_ON,"Toronto, ON",19.943,9.5,0.0,23.1,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,REFERENCE_UNAVAILABLE,No prior-year seasonal weather reference available,RULE_BASED_UNWEIGHTED_WEATHER_DIMENSIONS,DERIVED_FROM_PUBLIC_WEATHER,PROJECT_ASSUMPTION
2022-07-04,CA_ON,"Toronto, ON",19.814,7.7,0.0,19.1,0,20.414,25.7,0.0,-0.6,-18.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,NORMAL,NORMAL: no material adverse or mild scenario trigger,RULE_BASED_UNWEIGHTED_WEATHER_DIMENSIONS,DERIVED_FROM_PUBLIC_WEATHER,PROJECT_ASSUMPTION
2022-07-11,CA_ON,"Toronto, ON",21.557,2.2,0.0,26.2,0,22.3,23.5,0.0,-0.743,-21.3,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,NORMAL,NORMAL: no material adverse or mild scenario trigger,RULE_BASED_UNWEIGHTED_WEATHER_DIMENSIONS,DERIVED_FROM_PUBLIC_WEATHER,PROJECT_ASSUMPTION
2022-07-18,CA_ON,"Toronto, ON",25.157,57.0,0.0,28.2,0,21.771,23.0,0.0,3.386,34.0,0.0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,NORMAL,NORMAL: isolated adverse dimension without severe compound conditions | wetter_than_normal,RULE_BASED_UNWEIGHTED_WEATHER_DIMENSIONS,DERIVED_FROM_PUBLIC_WEATHER,PROJECT_ASSUMPTION
2022-07-25,CA_ON,"Toronto, ON",21.2,1.7,0.0,24.8,0,19.757,34.5,0.0,1.443,-32.8,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,NORMAL,NORMAL: no material adverse or mild scenario trigger,RULE_BASED_UNWEIGHTED_WEATHER_DIMENSIONS,DERIVED_FROM_PUBLIC_WEATHER,PROJECT_ASSUMPTION
2022-08-01,CA_ON,"Toronto, ON",23.586,6.0,0.0,25.1,0,21.686,8.1,0.0,1.9,-2.1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,NORMAL,NORMAL: no material adverse or mild scenario trigger,RULE_BASED_UNWEIGHTED_WEATHER_DIMENSIONS,DERIVED_FROM_PUBLIC_WEATHER,PROJECT_ASSUMPTION
2022-08-08,CA_ON,"Toronto, ON",20.7,5.2,0.0,24.3,0,23.814,9.5,0.0,-3.114,-4.3,0.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,NORMAL,NORMAL: isolated adverse dimension without severe compound conditions | colder_than_normal,RULE_BASED_UNWEIGHTED_WEATHER_DIMENSIONS,DERIVED_FROM_PUBLIC_WEATHER,PROJECT_ASSUMPTION
2022-08-15,CA_ON,"Toronto, ON",21.771,20.0,0.0,15.9,0,23.586,5.4,0.0,-1.815,14.6,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,NORMAL,NORMAL: no material adverse or mild scenario trigger,RULE_BASED_UNWEIGHTED_WEATHER_DIMENSIONS,DERIVED_FROM_PUBLIC_WEATHER,PROJECT_ASSUMPTION
2022-08-22,CA_ON,"Toronto, ON",21.057,17.4,0.0,21.4,0,25.0,5.0,0.0,-3.943,12.4,0.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,NORMAL,NORMAL: isolated adverse dimension without severe compound conditions | colder_than_normal,RULE_BASED_UNWEIGHTED_WEATHER_DIMENSIONS,DERIVED_FROM_PUBLIC_WEATHER,PROJECT_ASSUMPTION
2022-08-29,CA_ON,"Toronto, ON",21.386,7.8,0.0,27.6,0,20.1,4.1,0.0,1.286,3.7,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,NORMAL,NORMAL: no material adverse or mild scenario trigger,RULE_BASED_UNWEIGHTED_WEATHER_DIMENSIONS,DERIVED_FROM_PUBLIC_WEATHER,PROJECT_ASSUMPTION
2022-09-05,CA_ON,"Toronto, ON",19.757,0.6,0.0,18.2,0,19.143,10.0,0.0,0.614,-9.4,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,NORMAL,NORMAL: no material adverse or mild scenario trigger,RULE_BASED_UNWEIGHTED_WEATHER_DIMENSIONS,DERIVED_FROM_PUBLIC_WEATHER,PROJECT_ASSUMPTION
2022-09-12,CA_ON,"Toronto, ON",18.4,5.9,0.0,21.3,0,18.557,5.4,0.0,-0.157,0.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,NORMAL,NORMAL: no material adverse or mild scenario trigger,RULE_BASED_UNWEIGHTED_WEATHER_DIMENSIONS,DERIVED_FROM_PUBLIC_WEATHER,PROJECT_ASSUMPTION
2022-09-19,CA_ON,"Toronto, ON",16.429,27.3,0.0,30.3,0,16.357,58.6,0.0,0.072,-31.3,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,NORMAL,NORMAL: no material adverse or mild scenario trigger,RULE_BASED_UNWEIGHTED_WEATHER_DIMENSIONS,DERIVED_FROM_PUBLIC_WEATHER,PROJECT_ASSUMPTION
2022-09-26,CA_ON,"Toronto, ON",12.3,19.7,0.0,27.3,0,15.657,17.8,0.0,-3.357,1.9,0.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,NORMAL,NORMAL: isolated adverse dimension without severe compound conditions | colder_than_normal,RULE_BASED_UNWEIGHTED_WEATHER_DIMENSIONS,DERIVED_FROM_PUBLIC_WEATHER,PROJECT_ASSUMPTION
2022-10-03,CA_ON,"Toronto, ON",11.071,3.1,0.0,22.9,0,17.086,16.9,0.0,-6.015,-13.8,0.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,NORMAL,NORMAL: isolated adverse dimension without severe compound conditions | colder_than_normal,RULE_BASED_UNWEIGHTED_WEATHER_DIMENSIONS,DERIVED_FROM_PUBLIC_WEATHER,PROJECT_ASSUMPTION
2022-10-10,CA_ON,"Toronto, ON",11.643,20.1,0.0,28.8,0,16.857,15.1,0.0,-5.214,5.0,0.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,NORMAL,NORMAL: isolated adverse dimension without severe compound conditions | colder_than_normal,RULE_BASED_UNWEIGHTED_WEATHER_DIMENSIONS,DERIVED_FROM_PUBLIC_WEATHER,PROJECT_ASSUMPTION
2022-10-17,CA_ON,"Toronto, ON",8.743,7.2,0.0,27.2,0,10.586,5.4,0.0,-1.843,1.8,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,NORMAL,NORMAL: no material adverse or mild scenario trigger,RULE_BASED_UNWEIGHTED_WEATHER_DIMENSIONS,DERIVED_FROM_PUBLIC_WEATHER,PROJECT_ASSUMPTION
2022-10-24,CA_ON,"Toronto, ON",8.771,6.8,0.0,28.3,0,9.3,41.7,0.0,-0.529,-34.9,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,NORMAL,NORMAL: no material adverse or mild scenario trigger,RULE_BASED_UNWEIGHTED_WEATHER_DIMENSIONS,DERIVED_FROM_PUBLIC_WEATHER,PROJECT_ASSUMPTION
2022-10-31,CA_ON,"Toronto, ON",12.271,6.0,0.0,32.3,0,4.757,0.4,0.0,7.514,5.6,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,MILD,MILD: warmer_than_seasonal_reference with no adverse weather dimensions,RULE_BASED_UNWEIGHTED_WEATHER_DIMENSIONS,DERIVED_FROM_PUBLIC_WEATHER,PROJECT_ASSUMPTION
2022-11-07,CA_ON,"Toronto, ON",8.271,17.9,0.0,23.6,0,7.771,16.8,0.28,0.5,1.1,-0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,NORMAL,NORMAL: no material adverse or mild scenario trigger,RULE_BASED_UNWEIGHTED_WEATHER_DIMENSIONS,DERIVED_FROM_PUBLIC_WEATHER,PROJECT_ASSUMPTION
