planning_cycle,forecast_as_of_date,planning_month,horizon_month_number,sku_id,channel_id,previous_cycle_units,cycle02_units,revision_units,revision_pct,lifecycle_phase,evidence_cutoff,forecast_version,provenance
CYCLE_02_2026-09,2026-09-28,2027-07,10,HIS-001,WHOLESALE,332.65,327.55,-5.1,-1.532,SECOND-SEASON / MATURATION,W4,CYCLE_02_ANALYTICAL_UPDATE,DERIVED: Cycle-01 V3 approved x Method-B lifecycle attenuation of W4 forward revision -0.0613; SYNTHETIC ROLLING-FORECAST GOVERNANCE WEIGHTS 1.00/0.50/0.25
CYCLE_02_2026-09,2026-09-28,2027-08,11,HIS-001,ECOM,665.94,655.74,-10.2,-1.532,SECOND-SEASON / MATURATION,W4,CYCLE_02_ANALYTICAL_UPDATE,DERIVED: Cycle-01 V3 approved x Method-B lifecycle attenuation of W4 forward revision -0.0613; SYNTHETIC ROLLING-FORECAST GOVERNANCE WEIGHTS 1.00/0.50/0.25
CYCLE_02_2026-09,2026-09-28,2027-08,11,HIS-001,RETAIL,517.95,510.01,-7.94,-1.532,SECOND-SEASON / MATURATION,W4,CYCLE_02_ANALYTICAL_UPDATE,DERIVED: Cycle-01 V3 approved x Method-B lifecycle attenuation of W4 forward revision -0.0613; SYNTHETIC ROLLING-FORECAST GOVERNANCE WEIGHTS 1.00/0.50/0.25
CYCLE_02_2026-09,2026-09-28,2027-08,11,HIS-001,WHOLESALE,295.96,291.43,-4.53,-1.532,SECOND-SEASON / MATURATION,W4,CYCLE_02_ANALYTICAL_UPDATE,DERIVED: Cycle-01 V3 approved x Method-B lifecycle attenuation of W4 forward revision -0.0613; SYNTHETIC ROLLING-FORECAST GOVERNANCE WEIGHTS 1.00/0.50/0.25
CYCLE_02_2026-09,2026-09-28,2027-09,12,HIS-001,ECOM,1066.29,1049.95,-16.34,-1.532,SECOND-SEASON / MATURATION,W4,CYCLE_02_ANALYTICAL_UPDATE,DERIVED: Cycle-01 V3 approved x Method-B lifecycle attenuation of W4 forward revision -0.0613; SYNTHETIC ROLLING-FORECAST GOVERNANCE WEIGHTS 1.00/0.50/0.25
CYCLE_02_2026-09,2026-09-28,2027-09,12,HIS-001,RETAIL,829.35,816.64,-12.71,-1.532,SECOND-SEASON / MATURATION,W4,CYCLE_02_ANALYTICAL_UPDATE,DERIVED: Cycle-01 V3 approved x Method-B lifecycle attenuation of W4 forward revision -0.0613; SYNTHETIC ROLLING-FORECAST GOVERNANCE WEIGHTS 1.00/0.50/0.25
CYCLE_02_2026-09,2026-09-28,2027-09,12,HIS-001,WHOLESALE,473.91,466.65,-7.26,-1.532,SECOND-SEASON / MATURATION,W4,CYCLE_02_ANALYTICAL_UPDATE,DERIVED: Cycle-01 V3 approved x Method-B lifecycle attenuation of W4 forward revision -0.0613; SYNTHETIC ROLLING-FORECAST GOVERNANCE WEIGHTS 1.00/0.50/0.25
CYCLE_02_2026-09,2026-09-28,2027-10,13,HIS-001,ECOM,1222.58,1203.85,-18.73,-1.532,SECOND-SEASON / MATURATION,W4,CYCLE_02_ANALYTICAL_UPDATE,DERIVED: Cycle-01 V3 approved x Method-B lifecycle attenuation of W4 forward revision -0.0613; SYNTHETIC ROLLING-FORECAST GOVERNANCE WEIGHTS 1.00/0.50/0.25
CYCLE_02_2026-09,2026-09-28,2027-10,13,HIS-001,RETAIL,950.91,936.34,-14.57,-1.532,SECOND-SEASON / MATURATION,W4,CYCLE_02_ANALYTICAL_UPDATE,DERIVED: Cycle-01 V3 approved x Method-B lifecycle attenuation of W4 forward revision -0.0613; SYNTHETIC ROLLING-FORECAST GOVERNANCE WEIGHTS 1.00/0.50/0.25
CYCLE_02_2026-09,2026-09-28,2027-10,13,HIS-001,WHOLESALE,543.38,535.05,-8.33,-1.532,SECOND-SEASON / MATURATION,W4,CYCLE_02_ANALYTICAL_UPDATE,DERIVED: Cycle-01 V3 approved x Method-B lifecycle attenuation of W4 forward revision -0.0613; SYNTHETIC ROLLING-FORECAST GOVERNANCE WEIGHTS 1.00/0.50/0.25
CYCLE_02_2026-09,2026-09-28,2027-11,14,HIS-001,ECOM,1485.4,1462.64,-22.76,-1.532,SECOND-SEASON / MATURATION,W4,CYCLE_02_ANALYTICAL_UPDATE,DERIVED: Cycle-01 V3 approved x Method-B lifecycle attenuation of W4 forward revision -0.0613; SYNTHETIC ROLLING-FORECAST GOVERNANCE WEIGHTS 1.00/0.50/0.25
CYCLE_02_2026-09,2026-09-28,2027-11,14,HIS-001,RETAIL,1155.31,1137.61,-17.7,-1.532,SECOND-SEASON / MATURATION,W4,CYCLE_02_ANALYTICAL_UPDATE,DERIVED: Cycle-01 V3 approved x Method-B lifecycle attenuation of W4 forward revision -0.0613; SYNTHETIC ROLLING-FORECAST GOVERNANCE WEIGHTS 1.00/0.50/0.25
CYCLE_02_2026-09,2026-09-28,2027-11,14,HIS-001,WHOLESALE,660.19,650.07,-10.12,-1.532,SECOND-SEASON / MATURATION,W4,CYCLE_02_ANALYTICAL_UPDATE,DERIVED: Cycle-01 V3 approved x Method-B lifecycle attenuation of W4 forward revision -0.0613; SYNTHETIC ROLLING-FORECAST GOVERNANCE WEIGHTS 1.00/0.50/0.25
CYCLE_02_2026-09,2026-09-28,2027-12,15,HIS-001,ECOM,2025.25,1994.22,-31.03,-1.532,SECOND-SEASON / MATURATION,W4,CYCLE_02_ANALYTICAL_UPDATE,DERIVED: Cycle-01 V3 approved x Method-B lifecycle attenuation of W4 forward revision -0.0613; SYNTHETIC ROLLING-FORECAST GOVERNANCE WEIGHTS 1.00/0.50/0.25
CYCLE_02_2026-09,2026-09-28,2027-12,15,HIS-001,RETAIL,1575.21,1551.07,-24.14,-1.532,SECOND-SEASON / MATURATION,W4,CYCLE_02_ANALYTICAL_UPDATE,DERIVED: Cycle-01 V3 approved x Method-B lifecycle attenuation of W4 forward revision -0.0613; SYNTHETIC ROLLING-FORECAST GOVERNANCE WEIGHTS 1.00/0.50/0.25
CYCLE_02_2026-09,2026-09-28,2027-12,15,HIS-001,WHOLESALE,900.13,886.34,-13.79,-1.532,SECOND-SEASON / MATURATION,W4,CYCLE_02_ANALYTICAL_UPDATE,DERIVED: Cycle-01 V3 approved x Method-B lifecycle attenuation of W4 forward revision -0.0613; SYNTHETIC ROLLING-FORECAST GOVERNANCE WEIGHTS 1.00/0.50/0.25
CYCLE_02_2026-09,2026-09-28,2028-01,16,HIS-001,ECOM,1481.66,1458.96,-22.7,-1.532,SECOND-SEASON / MATURATION,W4,CYCLE_02_ANALYTICAL_UPDATE,DERIVED: Cycle-01 V3 approved x Method-B lifecycle attenuation of W4 forward revision -0.0613; SYNTHETIC ROLLING-FORECAST GOVERNANCE WEIGHTS 1.00/0.50/0.25
CYCLE_02_2026-09,2026-09-28,2028-01,16,HIS-001,RETAIL,1152.38,1134.72,-17.66,-1.532,SECOND-SEASON / MATURATION,W4,CYCLE_02_ANALYTICAL_UPDATE,DERIVED: Cycle-01 V3 approved x Method-B lifecycle attenuation of W4 forward revision -0.0613; SYNTHETIC ROLLING-FORECAST GOVERNANCE WEIGHTS 1.00/0.50/0.25
CYCLE_02_2026-09,2026-09-28,2028-01,16,HIS-001,WHOLESALE,658.52,648.43,-10.09,-1.532,SECOND-SEASON / MATURATION,W4,CYCLE_02_ANALYTICAL_UPDATE,DERIVED: Cycle-01 V3 approved x Method-B lifecycle attenuation of W4 forward revision -0.0613; SYNTHETIC ROLLING-FORECAST GOVERNANCE WEIGHTS 1.00/0.50/0.25
CYCLE_02_2026-09,2026-09-28,2028-02,17,HIS-001,ECOM,1351.17,1330.47,-20.7,-1.532,SECOND-SEASON / MATURATION,W4,CYCLE_02_ANALYTICAL_UPDATE,DERIVED: Cycle-01 V3 approved x Method-B lifecycle attenuation of W4 forward revision -0.0613; SYNTHETIC ROLLING-FORECAST GOVERNANCE WEIGHTS 1.00/0.50/0.25
CYCLE_02_2026-09,2026-09-28,2028-02,17,HIS-001,RETAIL,1050.91,1034.81,-16.1,-1.532,SECOND-SEASON / MATURATION,W4,CYCLE_02_ANALYTICAL_UPDATE,DERIVED: Cycle-01 V3 approved x Method-B lifecycle attenuation of W4 forward revision -0.0613; SYNTHETIC ROLLING-FORECAST GOVERNANCE WEIGHTS 1.00/0.50/0.25
CYCLE_02_2026-09,2026-09-28,2028-02,17,HIS-001,WHOLESALE,600.52,591.32,-9.2,-1.532,SECOND-SEASON / MATURATION,W4,CYCLE_02_ANALYTICAL_UPDATE,DERIVED: Cycle-01 V3 approved x Method-B lifecycle attenuation of W4 forward revision -0.0613; SYNTHETIC ROLLING-FORECAST GOVERNANCE WEIGHTS 1.00/0.50/0.25
CYCLE_02_2026-09,2026-09-28,2028-03,18,HIS-001,ECOM,,1370.51,,,SECOND-SEASON / MATURATION,W4,CYCLE_02_NEW_HORIZON_MONTH,"NEW month generated from FROZEN cold-start seasonal foundation (0.60 APS+0.40 IMH, 5 Thursday-weeks, V0 Base scale, second-season 1.00, 45/35/20) x frozen V3/V0=1.10000 (approved-plan basis, consistent with continuing months) x 0.25 W4 attenuation. No literal Cycle-01 value (did not exist)."
CYCLE_02_2026-09,2026-09-28,2028-03,18,HIS-001,RETAIL,,1065.95,,,SECOND-SEASON / MATURATION,W4,CYCLE_02_NEW_HORIZON_MONTH,"NEW month generated from FROZEN cold-start seasonal foundation (0.60 APS+0.40 IMH, 5 Thursday-weeks, V0 Base scale, second-season 1.00, 45/35/20) x frozen V3/V0=1.10000 (approved-plan basis, consistent with continuing months) x 0.25 W4 attenuation. No literal Cycle-01 value (did not exist)."
CYCLE_02_2026-09,2026-09-28,2028-03,18,HIS-001,WHOLESALE,,609.11,,,SECOND-SEASON / MATURATION,W4,CYCLE_02_NEW_HORIZON_MONTH,"NEW month generated from FROZEN cold-start seasonal foundation (0.60 APS+0.40 IMH, 5 Thursday-weeks, V0 Base scale, second-season 1.00, 45/35/20) x frozen V3/V0=1.10000 (approved-plan basis, consistent with continuing months) x 0.25 W4 attenuation. No literal Cycle-01 value (did not exist)."
