forecast_week_start,horizon_week,sku_id,channel_id,base_forecast_units,mild_scenario_forecast_units,severe_scenario_forecast_units,committed_receipt_units,base_beginning_inventory_units,base_return_restock_units,base_available_units,base_shipped_units,base_lost_demand_units,base_ending_inventory_units,base_fill_rate,base_weeks_of_supply,safety_stock_units,service_target_fill_rate,priority_tier,risk_type,planner_action,series_weekly_service_exception_flag,weekly_base_fill_below_target_flag,data_classification,provenance
2026-09-21,13,CTS-001,WHOLESALE,261.818,258.792,263.727,0.0,569.519,2.955,572.474,261.818,0.0,310.656,1.0,0.911,852.699,0.92,P2,LOW_COVERAGE_RISK,PROTECT,0,0,DERIVED,DERIVED from frozen DemandIQ_Step4D_Final_13Week_Forecast.csv and DemandIQ_Step5_IBP_Decision_Plan.csv
2026-06-29,1,IMH-001,ECOM,468.52,463.289,471.194,1313.552,1960.271,26.18,3300.003,468.52,0.0,2831.483,1.0,6.021,1175.709,0.92,P2,LOW_COVERAGE_RISK,PROTECT,0,0,DERIVED,DERIVED from frozen DemandIQ_Step4D_Final_13Week_Forecast.csv and DemandIQ_Step5_IBP_Decision_Plan.csv
2026-07-06,2,IMH-001,ECOM,487.617,482.356,489.891,0.0,2831.483,27.877,2859.36,487.617,0.0,2371.743,1.0,5.022,1180.779,0.92,P2,LOW_COVERAGE_RISK,PROTECT,0,0,DERIVED,DERIVED from frozen DemandIQ_Step4D_Final_13Week_Forecast.csv and DemandIQ_Step5_IBP_Decision_Plan.csv
2026-07-13,3,IMH-001,ECOM,463.722,458.02,466.611,0.0,2371.743,29.013,2400.756,463.722,0.0,1937.034,1.0,3.995,1212.141,0.92,P2,LOW_COVERAGE_RISK,PROTECT,0,0,DERIVED,DERIVED from frozen DemandIQ_Step4D_Final_13Week_Forecast.csv and DemandIQ_Step5_IBP_Decision_Plan.csv
2026-07-20,4,IMH-001,ECOM,461.275,454.212,464.274,0.0,1937.034,27.591,1964.626,461.275,0.0,1503.351,1.0,2.984,1259.641,0.92,P2,LOW_COVERAGE_RISK,PROTECT,0,0,DERIVED,DERIVED from frozen DemandIQ_Step4D_Final_13Week_Forecast.csv and DemandIQ_Step5_IBP_Decision_Plan.csv
2026-07-27,5,IMH-001,ECOM,476.633,469.334,479.602,1427.138,1503.351,27.446,2957.935,476.633,0.0,2481.302,1.0,4.783,1296.821,0.92,P2,LOW_COVERAGE_RISK,PROTECT,0,0,DERIVED,DERIVED from frozen DemandIQ_Step4D_Final_13Week_Forecast.csv and DemandIQ_Step5_IBP_Decision_Plan.csv
2026-08-03,6,IMH-001,ECOM,537.796,531.121,541.146,0.0,2481.302,28.36,2509.661,537.796,0.0,1971.865,1.0,3.775,1305.714,0.92,P2,LOW_COVERAGE_RISK,PROTECT,0,0,DERIVED,DERIVED from frozen DemandIQ_Step4D_Final_13Week_Forecast.csv and DemandIQ_Step5_IBP_Decision_Plan.csv
2026-08-10,7,IMH-001,ECOM,539.722,534.018,543.439,0.0,1971.865,31.999,2003.864,539.722,0.0,1464.142,1.0,2.561,1429.494,0.92,P2,LOW_COVERAGE_RISK,PROTECT,0,0,DERIVED,DERIVED from frozen DemandIQ_Step4D_Final_13Week_Forecast.csv and DemandIQ_Step5_IBP_Decision_Plan.csv
2026-08-17,8,IMH-001,ECOM,520.763,515.373,524.007,0.0,1464.142,32.113,1496.256,520.763,0.0,975.493,1.0,1.59,1534.122,0.92,P2,LOW_COVERAGE_RISK,PROTECT,0,0,DERIVED,DERIVED from frozen DemandIQ_Step4D_Final_13Week_Forecast.csv and DemandIQ_Step5_IBP_Decision_Plan.csv
2026-08-24,9,IMH-001,ECOM,490.861,485.996,493.919,0.0,975.493,30.985,1006.478,490.861,0.0,515.617,1.0,0.77,1674.233,0.92,P2,LOW_COVERAGE_RISK,PROTECT,0,0,DERIVED,DERIVED from frozen DemandIQ_Step4D_Final_13Week_Forecast.csv and DemandIQ_Step5_IBP_Decision_Plan.csv
2026-08-31,10,IMH-001,ECOM,735.844,728.199,740.912,2634.187,515.617,29.206,3179.011,735.844,0.0,2443.167,1.0,3.352,1822.083,0.92,P2,LOW_COVERAGE_RISK,PROTECT,0,0,DERIVED,DERIVED from frozen DemandIQ_Step4D_Final_13Week_Forecast.csv and DemandIQ_Step5_IBP_Decision_Plan.csv
2026-09-07,11,IMH-001,ECOM,707.128,699.29,713.393,0.0,2443.167,43.783,2486.949,707.128,0.0,1779.821,1.0,2.442,1822.083,0.92,P2,LOW_COVERAGE_RISK,PROTECT,0,0,DERIVED,DERIVED from frozen DemandIQ_Step4D_Final_13Week_Forecast.csv and DemandIQ_Step5_IBP_Decision_Plan.csv
2026-09-14,12,IMH-001,ECOM,744.94,734.835,751.54,0.0,1779.821,42.074,1821.896,744.94,0.0,1076.956,1.0,1.478,1822.083,0.92,P2,LOW_COVERAGE_RISK,PROTECT,0,0,DERIVED,DERIVED from frozen DemandIQ_Step4D_Final_13Week_Forecast.csv and DemandIQ_Step5_IBP_Decision_Plan.csv
2026-09-21,13,IMH-001,ECOM,727.42,716.586,733.864,0.0,1076.956,44.324,1121.28,727.42,0.0,393.86,1.0,0.54,1822.083,0.92,P2,LOW_COVERAGE_RISK,PROTECT,0,0,DERIVED,DERIVED from frozen DemandIQ_Step4D_Final_13Week_Forecast.csv and DemandIQ_Step5_IBP_Decision_Plan.csv
2026-06-29,1,IMH-001,RETAIL,325.222,321.489,326.973,585.431,1782.926,16.978,2385.335,325.222,0.0,2060.113,1.0,6.442,799.503,0.92,P2,LOW_COVERAGE_RISK,PROTECT,0,0,DERIVED,DERIVED from frozen DemandIQ_Step4D_Final_13Week_Forecast.csv and DemandIQ_Step5_IBP_Decision_Plan.csv
2026-07-06,2,IMH-001,RETAIL,306.074,302.85,307.42,0.0,2060.113,16.098,2076.212,306.074,0.0,1770.138,1.0,5.475,808.212,0.92,P2,LOW_COVERAGE_RISK,PROTECT,0,0,DERIVED,DERIVED from frozen DemandIQ_Step4D_Final_13Week_Forecast.csv and DemandIQ_Step5_IBP_Decision_Plan.csv
2026-07-13,3,IMH-001,RETAIL,325.771,321.758,327.686,0.0,1770.138,15.151,1785.288,325.771,0.0,1459.517,1.0,4.316,845.369,0.92,P2,LOW_COVERAGE_RISK,PROTECT,0,0,DERIVED,DERIVED from frozen DemandIQ_Step4D_Final_13Week_Forecast.csv and DemandIQ_Step5_IBP_Decision_Plan.csv
2026-07-20,4,IMH-001,RETAIL,322.138,317.022,324.314,0.0,1459.517,16.126,1475.643,322.138,0.0,1153.505,1.0,3.334,864.9,0.92,P2,LOW_COVERAGE_RISK,PROTECT,0,0,DERIVED,DERIVED from frozen DemandIQ_Step4D_Final_13Week_Forecast.csv and DemandIQ_Step5_IBP_Decision_Plan.csv
2026-07-27,5,IMH-001,RETAIL,339.156,333.77,341.15,890.274,1153.505,15.946,2059.725,339.156,0.0,1720.569,1.0,4.863,884.573,0.92,P2,LOW_COVERAGE_RISK,PROTECT,0,0,DERIVED,DERIVED from frozen DemandIQ_Step4D_Final_13Week_Forecast.csv and DemandIQ_Step5_IBP_Decision_Plan.csv
2026-08-03,6,IMH-001,RETAIL,365.526,360.989,367.675,0.0,1720.569,16.788,1737.357,365.526,0.0,1371.831,1.0,3.801,902.223,0.92,P2,LOW_COVERAGE_RISK,PROTECT,0,0,DERIVED,DERIVED from frozen DemandIQ_Step4D_Final_13Week_Forecast.csv and DemandIQ_Step5_IBP_Decision_Plan.csv
2026-08-10,7,IMH-001,RETAIL,357.02,353.364,359.451,0.0,1371.831,18.094,1389.925,357.02,0.0,1032.905,1.0,2.686,961.329,0.92,P2,LOW_COVERAGE_RISK,PROTECT,0,0,DERIVED,DERIVED from frozen DemandIQ_Step4D_Final_13Week_Forecast.csv and DemandIQ_Step5_IBP_Decision_Plan.csv
2026-08-17,8,IMH-001,RETAIL,353.615,350.098,355.694,0.0,1032.905,17.672,1050.577,353.615,0.0,696.962,1.0,1.623,1073.452,0.92,P2,LOW_COVERAGE_RISK,PROTECT,0,0,DERIVED,DERIVED from frozen DemandIQ_Step4D_Final_13Week_Forecast.csv and DemandIQ_Step5_IBP_Decision_Plan.csv
2026-08-24,9,IMH-001,RETAIL,367.395,363.957,369.555,0.0,696.962,17.504,714.466,367.395,0.0,347.071,1.0,0.743,1167.217,0.92,P2,LOW_COVERAGE_RISK,PROTECT,0,0,DERIVED,DERIVED from frozen DemandIQ_Step4D_Final_13Week_Forecast.csv and DemandIQ_Step5_IBP_Decision_Plan.csv
2026-08-31,10,IMH-001,RETAIL,460.097,455.466,463.265,1845.198,347.071,18.186,2210.455,460.097,0.0,1750.358,1.0,3.523,1242.162,0.92,P2,LOW_COVERAGE_RISK,PROTECT,0,0,DERIVED,DERIVED from frozen DemandIQ_Step4D_Final_13Week_Forecast.csv and DemandIQ_Step5_IBP_Decision_Plan.csv
2026-09-07,11,IMH-001,RETAIL,536.416,530.616,541.731,0.0,1750.358,22.775,1773.133,536.416,0.0,1236.717,1.0,2.489,1242.162,0.92,P2,LOW_COVERAGE_RISK,PROTECT,0,0,DERIVED,DERIVED from frozen DemandIQ_Step4D_Final_13Week_Forecast.csv and DemandIQ_Step5_IBP_Decision_Plan.csv
2026-09-14,12,IMH-001,RETAIL,503.64,496.832,508.631,0.0,1236.717,26.553,1263.269,503.64,0.0,759.629,1.0,1.529,1242.162,0.92,P2,LOW_COVERAGE_RISK,PROTECT,0,0,DERIVED,DERIVED from frozen DemandIQ_Step4D_Final_13Week_Forecast.csv and DemandIQ_Step5_IBP_Decision_Plan.csv
2026-09-21,13,IMH-001,RETAIL,487.306,480.454,492.135,0.0,759.629,24.93,784.56,487.306,0.0,297.254,1.0,0.598,1242.162,0.92,P2,LOW_COVERAGE_RISK,PROTECT,0,0,DERIVED,DERIVED from frozen DemandIQ_Step4D_Final_13Week_Forecast.csv and DemandIQ_Step5_IBP_Decision_Plan.csv
2026-06-29,1,IMH-001,WHOLESALE,263.528,260.471,264.805,794.891,930.627,2.82,1728.337,263.528,0.0,1464.809,1.0,5.371,681.846,0.92,P1,WEEKLY_SERVICE_RISK,ESCALATE,1,0,DERIVED,DERIVED from frozen DemandIQ_Step4D_Final_13Week_Forecast.csv and DemandIQ_Step5_IBP_Decision_Plan.csv
2026-07-06,2,IMH-001,WHOLESALE,284.134,280.831,285.354,0.0,1464.809,2.635,1467.445,284.134,0.0,1183.311,1.0,4.308,686.731,0.92,P1,WEEKLY_SERVICE_RISK,ESCALATE,1,0,DERIVED,DERIVED from frozen DemandIQ_Step4D_Final_13Week_Forecast.csv and DemandIQ_Step5_IBP_Decision_Plan.csv
2026-07-13,3,IMH-001,WHOLESALE,289.541,285.767,291.025,0.0,1183.311,2.841,1186.152,289.541,0.0,896.611,1.0,3.226,694.748,0.92,P1,WEEKLY_SERVICE_RISK,ESCALATE,1,0,DERIVED,DERIVED from frozen DemandIQ_Step4D_Final_13Week_Forecast.csv and DemandIQ_Step5_IBP_Decision_Plan.csv
2026-07-20,4,IMH-001,WHOLESALE,253.75,249.724,255.349,0.0,896.611,2.895,899.506,253.75,0.0,645.756,1.0,2.364,683.016,0.92,P1,WEEKLY_SERVICE_RISK,ESCALATE,1,0,DERIVED,DERIVED from frozen DemandIQ_Step4D_Final_13Week_Forecast.csv and DemandIQ_Step5_IBP_Decision_Plan.csv
2026-07-27,5,IMH-001,WHOLESALE,271.344,267.04,272.734,720.13,645.756,2.538,1368.423,271.344,0.0,1097.079,1.0,3.795,722.648,0.92,P1,WEEKLY_SERVICE_RISK,ESCALATE,1,0,DERIVED,DERIVED from frozen DemandIQ_Step4D_Final_13Week_Forecast.csv and DemandIQ_Step5_IBP_Decision_Plan.csv
2026-08-03,6,IMH-001,WHOLESALE,296.961,293.088,298.482,0.0,1097.079,2.713,1099.793,296.961,0.0,802.832,1.0,2.705,741.894,0.92,P1,WEEKLY_SERVICE_RISK,ESCALATE,1,0,DERIVED,DERIVED from frozen DemandIQ_Step4D_Final_13Week_Forecast.csv and DemandIQ_Step5_IBP_Decision_Plan.csv
2026-08-10,7,IMH-001,WHOLESALE,270.771,267.748,272.393,0.0,802.832,2.97,805.801,270.771,0.0,535.03,1.0,1.678,797.019,0.92,P1,WEEKLY_SERVICE_RISK,ESCALATE,1,0,DERIVED,DERIVED from frozen DemandIQ_Step4D_Final_13Week_Forecast.csv and DemandIQ_Step5_IBP_Decision_Plan.csv
2026-08-17,8,IMH-001,WHOLESALE,317.16,313.765,318.785,0.0,535.03,2.708,537.738,317.16,0.0,220.578,1.0,0.614,898.272,0.92,P1,WEEKLY_SERVICE_RISK,ESCALATE,1,0,DERIVED,DERIVED from frozen DemandIQ_Step4D_Final_13Week_Forecast.csv and DemandIQ_Step5_IBP_Decision_Plan.csv
2026-08-24,9,IMH-001,WHOLESALE,302.138,299.182,303.685,0.0,220.578,3.172,223.75,223.75,78.388,0.0,0.741,0.0,936.287,0.92,P1,WEEKLY_SERVICE_RISK,ESCALATE,1,1,DERIVED,DERIVED from frozen DemandIQ_Step4D_Final_13Week_Forecast.csv and DemandIQ_Step5_IBP_Decision_Plan.csv
2026-08-31,10,IMH-001,WHOLESALE,385.161,381.216,387.468,1445.85,0.0,2.237,1448.088,385.161,0.0,1062.927,1.0,2.756,964.185,0.92,P1,WEEKLY_SERVICE_RISK,ESCALATE,1,0,DERIVED,DERIVED from frozen DemandIQ_Step4D_Final_13Week_Forecast.csv and DemandIQ_Step5_IBP_Decision_Plan.csv
2026-09-07,11,IMH-001,WHOLESALE,432.777,428.095,436.493,0.0,1062.927,3.852,1066.779,432.777,0.0,634.002,1.0,1.644,964.185,0.92,P1,WEEKLY_SERVICE_RISK,ESCALATE,1,0,DERIVED,DERIVED from frozen DemandIQ_Step4D_Final_13Week_Forecast.csv and DemandIQ_Step5_IBP_Decision_Plan.csv
2026-09-14,12,IMH-001,WHOLESALE,377.983,372.72,381.229,0.0,634.002,4.328,638.329,377.983,0.0,260.346,1.0,0.675,964.185,0.92,P1,WEEKLY_SERVICE_RISK,ESCALATE,1,0,DERIVED,DERIVED from frozen DemandIQ_Step4D_Final_13Week_Forecast.csv and DemandIQ_Step5_IBP_Decision_Plan.csv
2026-09-21,13,IMH-001,WHOLESALE,346.775,341.731,349.752,0.0,260.346,3.78,264.126,264.126,82.649,0.0,0.762,0.0,964.185,0.92,P1,WEEKLY_SERVICE_RISK,ESCALATE,1,1,DERIVED,DERIVED from frozen DemandIQ_Step4D_Final_13Week_Forecast.csv and DemandIQ_Step5_IBP_Decision_Plan.csv
