method,segment,rows,truth_units,observed_units,predicted_units,WAPE,Bias,MAE_units,lost_units_actual,recovered_units_estimated,lost_demand_recovery_pct
Naive_InStock_GrossUp,CENSORED_CTS-001_RETAIL,117,4883.0,1884.741981205508,3920.56132240114,0.5025459558377515,-0.19709987253714112,20.97377694321146,2998.2580187944923,2035.8193411956331,0.6790007158937488
Naive_InStock_GrossUp,CENSORED_CTS-001_WHOLESALE,173,7399.0,3259.488232712143,6508.785241317398,0.39315286249401893,-0.12031555057205058,16.814670691290438,4139.511767287857,3249.2970086052555,0.784946919171133
Naive_InStock_GrossUp,CENSORED_IMH-001_ECOM,221,20924.0,8853.683271236227,17139.886299037884,0.4330949973905462,-0.18085039671965764,41.00488563529316,12070.316728763773,8286.203027801657,0.6864942498199316
Naive_InStock_GrossUp,CENSORED_IMH-001_RETAIL,218,14146.0,5404.0673154518445,10975.341798634743,0.4838029673198407,-0.2241381451551857,31.39393016379113,8741.932684548156,5571.2744831828995,0.6373046652521623
Naive_InStock_GrossUp,CENSORED_IMH-001_WHOLESALE,267,21271.0,7817.687994486985,15366.938437799454,0.5279994637992002,-0.27756389272721294,42.06395728266961,13453.312005513017,7549.250443312469,0.5611443814146932
Seasonal_Profile_Imputation,CENSORED_APS-001_ECOM,262,10650.0,4053.0669775479582,10105.057649047907,0.2535998287356987,-0.05116829586404629,10.308542656622867,6596.933022452042,6051.990671499949,0.9173945909262027
Seasonal_Profile_Imputation,CENSORED_APS-001_RETAIL,271,7963.0,3010.149298129999,8355.17749018189,0.26625121810924823,0.049249967371830954,7.823462914405696,4952.850701870001,5345.02819205189,1.079182174829905
Seasonal_Profile_Imputation,CENSORED_APS-001_WHOLESALE,256,7719.0,2887.5950006984745,7267.622594871652,0.3124475699081801,-0.0584761504247115,9.421026531723603,4831.404999301525,4380.027594173177,0.9065742977056149
Seasonal_Profile_Imputation,CENSORED_CTS-001_ECOM,127,6263.0,3007.3981065789385,6386.2724441269065,0.24816831653509766,0.019682651145921527,12.238410759522178,3255.6018934210615,3378.874337547969,1.0378647169286936
Seasonal_Profile_Imputation,CENSORED_CTS-001_RETAIL,117,4883.0,1884.741981205508,4480.784470647445,0.2543917106413302,-0.08237057738123178,10.617048915056541,2998.2580187944923,2596.042489441938,0.8658502614413842
Seasonal_Profile_Imputation,CENSORED_CTS-001_WHOLESALE,173,7399.0,3259.488232712143,6614.953125673383,0.2734325438294489,-0.1059666001252355,11.69437798724909,4139.511767287857,3355.464892961239,0.8105943603005353
Seasonal_Profile_Imputation,CENSORED_IMH-001_ECOM,221,20924.0,8853.683271236227,20433.895264622275,0.2218996539067481,-0.02342309001040551,21.009178092057905,12070.316728763773,11580.211993386049,0.9593958678640307
Seasonal_Profile_Imputation,CENSORED_IMH-001_RETAIL,218,14146.0,5404.0673154518445,15511.517315175523,0.24704850089750321,0.09653027818291549,16.0309545582389,8741.932684548156,10107.449999723678,1.1562031377328208
Seasonal_Profile_Imputation,CENSORED_IMH-001_WHOLESALE,267,21271.0,7817.687994486985,19423.11483711313,0.2920033651980385,-0.08687345037313096,23.262934760777064,13453.312005513017,11605.426842626148,0.8626445917459117
Regression_Imputation,CENSORED_APS-001_ECOM,262,10650.0,4053.0669775479582,8776.05558621871,0.2542285471360884,-0.17595722195129482,10.334099339692141,6596.933022452042,4722.988608670753,0.7159370259780575
Regression_Imputation,CENSORED_APS-001_RETAIL,271,7963.0,3010.149298129999,6613.337795134785,0.22953184165495671,-0.16949167460319167,6.744509428407454,4952.850701870001,3603.188497004786,0.727497902499739
Regression_Imputation,CENSORED_APS-001_WHOLESALE,256,7719.0,2887.5950006984745,5745.737081459581,0.3085664402069896,-0.2556371186086824,9.304001374834971,4831.404999301525,2858.142080761106,0.5915757592613964
Regression_Imputation,CENSORED_CTS-001_ECOM,127,6263.0,3007.3981065789385,5430.509865517645,0.22729393800387052,-0.132921943873919,11.208991604080639,3255.6018934210615,2423.1117589387077,0.7442899464567045
Regression_Imputation,CENSORED_CTS-001_RETAIL,117,4883.0,1884.741981205508,4316.420378799245,0.22549341060937989,-0.11603105082956285,9.410977128253009,2998.2580187944923,2431.6783975937356,0.8110303991020222
Regression_Imputation,CENSORED_CTS-001_WHOLESALE,173,7399.0,3259.488232712143,5431.3967625730265,0.2887142427113033,-0.2659282656341362,12.347957698386896,4139.511767287857,2171.9085298608834,0.5246774624544391
Regression_Imputation,CENSORED_IMH-001_ECOM,221,20924.0,8853.683271236227,17570.45176091259,0.22259939708565543,-0.16027280821484466,21.075428889684407,12070.316728763773,8716.76848967636,0.7221656801187454
Regression_Imputation,CENSORED_IMH-001_RETAIL,218,14146.0,5404.0673154518445,12305.189910534136,0.22224598989147068,-0.13012937151603732,14.421521894517175,8741.932684548156,6901.122595082293,0.789427560713251
Regression_Imputation,CENSORED_IMH-001_WHOLESALE,267,21271.0,7817.687994486985,13450.197209499489,0.3799272860689663,-0.36767442952849,30.26754045682765,13453.312005513017,5632.509215012506,0.4186708234154063
