sku_id,channel_id,model,pooled_wape_pct,pooled_bias_pct,pooled_mae_units,mean_fold_wape_pct,median_fold_wape_pct,std_fold_wape_pct,worst_fold_wape_pct,folds_evaluated,model_family,evaluation_scope,forecast_horizon_weeks,complexity_rank,champion_eligible,wape_rank,absolute_bias_pct
CTS-001,RETAIL,HW_Damped_Mul,9.179185779,0.803020893,30.27647052,9.291937045,9.617840368,3.295016529,17.59739744,12,ETS,FULL_12_FOLD,13,2,TRUE,1,0.803020893
CTS-001,RETAIL,HW_Damped_Add,9.378126376,0.248432135,30.93265281,9.526901633,9.397235333,3.227856076,16.29797657,12,ETS,FULL_12_FOLD,13,2,TRUE,2,0.248432135
CTS-001,RETAIL,SARIMA_011_011,9.41486909,-0.110576083,31.05384436,9.558915047,9.889816451,3.070063282,16.61561623,12,SARIMA,FULL_12_FOLD,13,3,TRUE,3,0.110576083
CTS-001,RETAIL,HW_Add_Add,9.766282897,1.707625511,32.21294169,10.07300567,10.189058,4.117149971,18.00791676,12,ETS,FULL_12_FOLD,13,2,TRUE,4,1.707625511
CTS-001,RETAIL,Seasonal_MA_2Y,11.06994977,-7.081912745,36.51293438,11.18554217,10.55386671,2.595790233,17.50694569,12,BASELINE,FULL_12_FOLD,13,1,TRUE,5,7.081912745
CTS-001,RETAIL,Seasonal_Naive,11.52142323,-4.215752408,38.00206676,11.68755156,10.58161107,4.128701757,20.85680136,12,BASELINE,FULL_12_FOLD,13,1,TRUE,6,4.215752408
CTS-001,WHOLESALE,Seasonal_MA_2Y,21.72631677,2.412896713,60.96050969,21.92160984,21.79155842,4.531117101,30.1199743,12,BASELINE,FULL_12_FOLD,13,1,TRUE,1,2.412896713
CTS-001,WHOLESALE,HW_Damped_Mul,22.08522181,1.038057533,61.96753883,22.40208064,22.27757479,6.187442007,33.65535235,12,ETS,FULL_12_FOLD,13,2,TRUE,2,1.038057533
CTS-001,WHOLESALE,HW_Damped_Add,23.42435524,-0.838676788,65.72492935,24.20394329,21.71379461,11.35715922,56.68490489,12,ETS,FULL_12_FOLD,13,2,TRUE,3,0.838676788
CTS-001,WHOLESALE,HW_Add_Add,23.72109848,0.959249483,66.55754259,24.46330161,21.98306636,10.99006201,55.03266525,12,ETS,FULL_12_FOLD,13,2,TRUE,4,0.959249483
CTS-001,WHOLESALE,Seasonal_Naive,25.61074859,2.849005141,71.85959334,25.46346556,25.24398999,4.848512764,35.5585901,12,BASELINE,FULL_12_FOLD,13,1,TRUE,5,2.849005141
IMH-001,ECOM,SARIMA_011_011,8.622017176,-0.385562054,57.67547801,8.472357597,8.381679583,3.272444717,15.97803404,12,SARIMA,FULL_12_FOLD,13,3,TRUE,1,0.385562054
IMH-001,ECOM,HW_Damped_Mul,8.680841647,-1.315541042,58.06897404,8.358752477,8.795977015,2.201458503,11.33970484,12,ETS,FULL_12_FOLD,13,2,TRUE,2,1.315541042
IMH-001,ECOM,HW_Damped_Add,8.789991525,-1.442373754,58.79911308,8.651837628,8.511579711,2.802941603,14.46102856,12,ETS,FULL_12_FOLD,13,2,TRUE,3,1.442373754
IMH-001,ECOM,HW_Add_Add,8.913185692,0.516921081,59.62319894,8.844167928,8.433677466,3.25449533,15.79329539,12,ETS,FULL_12_FOLD,13,2,TRUE,4,0.516921081
IMH-001,ECOM,Seasonal_Naive,11.19953047,-7.47983908,74.91730299,10.91276971,10.36224087,3.032423435,16.42021535,12,BASELINE,FULL_12_FOLD,13,1,TRUE,5,7.47983908
IMH-001,ECOM,Seasonal_MA_2Y,12.9325418,-11.37037164,86.50997962,12.94149478,12.22445279,2.241170344,17.52936198,12,BASELINE,FULL_12_FOLD,13,1,TRUE,6,11.37037164
IMH-001,RETAIL,HW_Damped_Mul,8.484563474,-1.208794893,42.07894541,8.30624914,8.29117538,1.786709478,11.43107779,12,ETS,FULL_12_FOLD,13,2,TRUE,1,1.208794893
IMH-001,RETAIL,HW_Damped_Add,8.491388119,-0.825786246,42.11279204,8.672775244,7.452791694,2.354696518,12.83121048,12,ETS,FULL_12_FOLD,13,2,TRUE,2,0.825786246
IMH-001,RETAIL,HW_Add_Add,8.683684742,0.429691988,43.06648154,8.957078809,7.871012447,2.457698983,13.72160436,12,ETS,FULL_12_FOLD,13,2,TRUE,3,0.429691988
IMH-001,RETAIL,Seasonal_Naive,9.726136618,-5.69160312,48.23649125,9.815072707,9.183521494,2.356285414,13.17645366,12,BASELINE,FULL_12_FOLD,13,1,TRUE,4,5.69160312
IMH-001,RETAIL,Seasonal_MA_2Y,10.53240379,-8.446727177,52.23514983,10.57441928,9.871289386,2.524111629,14.31616704,12,BASELINE,FULL_12_FOLD,13,1,TRUE,5,8.446727177
IMH-001,WHOLESALE,HW_Add_Add,18.54969772,1.405388321,76.51044721,18.55487273,15.87093407,4.872948874,29.09172502,12,ETS,FULL_12_FOLD,13,2,TRUE,1,1.405388321
IMH-001,WHOLESALE,HW_Damped_Mul,18.83083716,-0.220188566,77.67004044,18.71938658,17.12076624,4.460319498,26.2252121,12,ETS,FULL_12_FOLD,13,2,TRUE,2,0.220188566
IMH-001,WHOLESALE,HW_Damped_Add,19.80280345,-0.524711562,81.6790317,19.47292407,20.45741089,4.18961854,26.13113702,12,ETS,FULL_12_FOLD,13,2,TRUE,3,0.524711562
IMH-001,WHOLESALE,Seasonal_MA_2Y,20.12173709,-2.875915958,82.99451163,20.10005634,20.0172707,3.128410271,26.96177746,12,BASELINE,FULL_12_FOLD,13,1,TRUE,4,2.875915958
IMH-001,WHOLESALE,Seasonal_Naive,22.4245232,-1.390682605,92.49262842,21.95227032,21.3137865,4.432961005,28.85870317,12,BASELINE,FULL_12_FOLD,13,1,TRUE,5,1.390682605
